CustomerId,Id,AttributeId,AttributeValueId,Name,Description,ShowOnPage,DisplayOrder,Value
1,178010,5,8,Kanal kupca za cenovnik,,TRUE,1,1
1,225083,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
1,456896,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
127126,516255,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
127126,242651,5,8,Kanal kupca za cenovnik,,TRUE,1,4
127126,242675,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Da
127126,453377,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
34788,184091,5,8,Kanal kupca za cenovnik,,TRUE,1,1
34788,201737,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
34788,483639,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
37566,150321,5,8,Kanal kupca za cenovnik,,TRUE,1,1
37566,229607,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
37566,478025,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
115666,521615,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
115666,182641,5,8,Kanal kupca za cenovnik,,TRUE,1,3
115666,222020,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
115666,463890,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
39799,123043,5,8,Kanal kupca za cenovnik,,TRUE,1,1
39799,197658,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
39799,490431,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
19056,147004,5,8,Kanal kupca za cenovnik,,TRUE,1,1
19056,209246,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
19056,481631,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
33897,119355,5,8,Kanal kupca za cenovnik,,TRUE,1,4
33897,203846,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
33897,454078,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
35755,140285,5,8,Kanal kupca za cenovnik,,TRUE,1,1
35755,235675,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
35755,477694,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
16353,127160,5,8,Kanal kupca za cenovnik,,TRUE,1,1
16353,204481,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
16353,483724,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
7929,127382,5,8,Kanal kupca za cenovnik,,TRUE,1,1
7929,235386,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
7929,490368,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
47274,186066,5,8,Kanal kupca za cenovnik,,TRUE,1,1
47274,193371,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
47274,452436,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
124535,177925,5,8,Kanal kupca za cenovnik,,TRUE,1,1
124535,228596,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
124535,490145,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
6376,129856,5,8,Kanal kupca za cenovnik,,TRUE,1,1
6376,212240,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
6376,483914,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
114952,191614,5,8,Kanal kupca za cenovnik,,TRUE,1,1
114952,226770,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
114952,474049,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
100129,147112,5,8,Kanal kupca za cenovnik,,TRUE,1,1
100129,221926,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
100129,489075,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
39798,515728,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
39798,182955,5,8,Kanal kupca za cenovnik,,TRUE,1,2
39798,219593,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
39798,475481,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
8177,149001,5,8,Kanal kupca za cenovnik,,TRUE,1,1
8177,209354,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
8177,458655,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
3735,149647,5,8,Kanal kupca za cenovnik,,TRUE,1,1
3735,216277,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
3735,484199,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
38081,150453,5,8,Kanal kupca za cenovnik,,TRUE,1,1
38081,207670,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
38081,457857,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
42306,128621,5,8,Kanal kupca za cenovnik,,TRUE,1,1
42306,212257,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
42306,495947,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
25228,129955,5,8,Kanal kupca za cenovnik,,TRUE,1,1
25228,212341,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
25228,496541,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
23572,522918,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
23572,150506,5,8,Kanal kupca za cenovnik,,TRUE,1,4
23572,240845,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
23572,495065,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
31994,516770,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
31994,119073,5,8,Kanal kupca za cenovnik,,TRUE,1,3
31994,224695,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
31994,488980,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
6036,134249,5,8,Kanal kupca za cenovnik,,TRUE,1,1
6036,232007,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
6036,501888,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
