CustomerId,Code,Name,Smlturnover,Sean,Priority,ExistTradeAgreement,CentralOffice,BalanceCritical,PaymentCondition,PaymentAvgDays,OldestOpenInvDate,LatestInvDate,LatestPayDate,FirstInvDate,ExistOrsy,ExistOrsy100,TreasuryBill,CustPaymentMethod,GP_,SharedSelfMadeTurnover12m,PlanCurrentYear,TurnoverCurrentYear,FullfilmentCurrentYear,Plan12Months,Turnover12Months,Fullfilment12Months,SalesTargetYtm,ActualSalesYtm,SalesTargetMonth,ActualSalesMonth,TrendActualSalesYtm,TrendArticlesYtm,TrendActualSalesMonth,TrendArticlesMonth,CreditLimit,Balance,BalanceOutOfLimit,Coefficient,Color,BillOfExchange,CustomerOwnTurnover,Potential,RegBalance,UpTo30Days,From31To60Days,From61To90Days,Over90Days,Turnover6Months,TurnoverLastYear,BlueCoatsNo,GrayCoatsNo,TopDivision,Division,TopBranch,Branch,SecBranch,Status,FinStatus,Customer12MonthsPlan,CalculatedNumberOfVisits,CalculatedTimeAtCustomer,BusinessUnitCode,CustomerIsActive,CustPaymentConditionId,DateLastPayment,DateLastInvoice_,CentralOfficeCode,EmployeeId
1,00006,Customer 1,K0,N3,12,FALSE,FALSE,0,45 dana,0,,11/07/2016 00:00:00,02/09/2017 00:00:00,03/01/2013 00:00:00,FALSE,TRUE,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21256893,0,0,"3,65",4,FALSE,2422438000,0,0,0,0,0,0,0,0,30,50,METAL,ODRŽAVANJE,ODRŽAVANJE - METAL,"JKP, JAVNI SERVISI, AERODROM",,2,0,0,0,0,,0,32,02/09/2017 00:00:00,11/07/2016 00:00:00,00006,18
127126,66452,Customer 2,L4,A4,0,TRUE,FALSE,51673332.54,90 dana,78.71,09/18/2023 00:00:00,07/15/2024 00:00:00,07/12/2024 00:00:00,,TRUE,FALSE,0,ZIRO-RACUN,30.09,,75000000,43831210.01,58.44,75000000,68458891.37,91.28,46500000,43831210.01,4425000,2824299,41325148.92,1763,-1515301.97,-627,90000000,76811085.45,55951677.15,1ABC,5,FALSE,1129621000,0,20859408.3,18014395.38,8125279.83,5443371.43,24368630.51,41006911.01,27458755.51,1,0,TRADE,TRADE SPECIJAL,Trade Specijal,DIY Sistemi,,2,2,75000000,0,0,,1,43,01/01/1753 00:00:00,01/01/1753 00:00:00,66452,84
34788,51717,Customer 3,S2,A2,0,FALSE,FALSE,0,30 dana,42.5,05/31/2024 00:00:00,06/10/2024 00:00:00,07/08/2024 00:00:00,10/27/2017 00:00:00,FALSE,FALSE,0,,39.21,,100000,76707.6,76.71,150000,111319.6,74.21,60950,76707.6,11550,0,29082.8,2,0,0,2257118,0,0,"3,77",4,FALSE,260562000,0,0,0,0,0,0,76707.6,82236.8,2,0,METAL,ODRŽAVANJE,ODRŽAVANJE - METAL,"BOLNICE,HOTELI,ŠKOLE,OBEZBEĐENJE,OST. SPEC. ODRŽ.",,2,0,150000,0,0,,1,24,10/06/2020 00:00:00,04/08/2024 00:00:00,51717,1183
37566,49982,Customer 4,K0,N1,0,FALSE,FALSE,0,30 dana,0,,06/08/2020 00:00:00,06/26/2020 00:00:00,01/13/2017 00:00:00,FALSE,FALSE,0,,53.56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,FALSE,0,200000,0,0,0,0,0,0,0,3,1,DRVO,DRVO,"Nameštaj, puno drvo",MASIV - PROIZVODNJA NAMEŠTAJA I STOLICA,,2,0,0,0,0,,0,24,06/26/2020 00:00:00,06/08/2020 00:00:00,49982,1107
115666,43652002,Customer 5,K0,R3,0,FALSE,FALSE,0,30 dana,0,,,,,FALSE,FALSE,0,,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486354,4320,4320,"3,77",4,FALSE,291721000,500000,0,0,0,0,0,0,0,0,0,TRADE,TRADE,Trgovina Robna Kuća,Trgovina Robna Kuća,,2,2,0,0,0,43652002,0,24,01/01/1753 00:00:00,01/01/1753 00:00:00,43652,473
39799,48849,Customer 6,K0,N2,0,FALSE,FALSE,0,30 dana,0,,09/04/2018 00:00:00,12/18/2019 00:00:00,06/28/2016 00:00:00,FALSE,FALSE,0,,41.98,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150338,0,0,"3,52",4,FALSE,23140000,0,0,0,0,0,0,0,0,4,0,AUTO,AUTO,AUTO MEHANIČARI I ELEKTRIČARI,AUTO MEHANIČARI,,2,0,0,0,0,,0,24,12/18/2019 00:00:00,09/04/2018 00:00:00,48849,21
19056,37725,Customer 7,K0,N1,61,FALSE,FALSE,0,0 dana,0,,03/26/2015 00:00:00,03/27/2015 00:00:00,03/26/2015 00:00:00,FALSE,FALSE,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,BRISAN,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,AUTO,AUTO TRADE,AUTO TRADE,Auto prodavnica,,2,0,0,0,0,,0,1,03/27/2015 00:00:00,03/26/2015 00:00:00,37725,7
33897,37101008,Customer 8,K0,N4,0,FALSE,FALSE,0,0 dana,0,,,,,FALSE,FALSE,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,STEČAJ,1,FALSE,3039000,0,0,0,0,0,0,0,0,0,0,AUTO,AUTO TRADE,AUTO TRADE,Benzinska stanica u gradu,,2,0,0,0,0,37101008,0,1,01/01/1753 00:00:00,01/01/1753 00:00:00,37101,19
35755,47035,Customer 9,K0,N1,0,FALSE,FALSE,0,30 dana,0,,02/07/2017 00:00:00,02/08/2017 00:00:00,08/31/2015 00:00:00,FALSE,FALSE,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,"3,95",4,FALSE,15832000,0,0,0,0,0,0,0,0,1,2,AUTO,CARGO,CARGO MEHANIČARI,AUTOBUSKE KOMPANIJE,,2,0,0,0,0,,0,24,02/08/2017 00:00:00,02/07/2017 00:00:00,47035,652
16353,34610,Customer 10,K0,N1,61,FALSE,FALSE,0,25 dana,0,05/18/2021 00:00:00,05/18/2021 00:00:00,06/01/2021 00:00:00,09/14/2016 00:00:00,FALSE,FALSE,0,,32.35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62274,0,0,"3,6",4,FALSE,9414000,150000,0,0,0,0,0,0,0,2,0,DRVO,GRADNJA,Građevinska stolarija,Proizvodnja i montaža Alu-PVC stolarije,,2,0,0,0,0,,0,22,10/03/2016 00:00:00,10/31/2016 00:00:00,34610,1346
7929,23103,Customer 11,S2,R1,61,FALSE,FALSE,0,30 dana,121,06/20/2024 00:00:00,06/20/2024 00:00:00,06/12/2024 00:00:00,05/20/2013 00:00:00,FALSE,TRUE,0,,31.94,,450000,84040.08,18.68,300000,166181.15,55.39,229950,84040.08,22500,0,-27036.67,-3,0,0,100000,58775.64,0,"3,45",4,FALSE,7264000,700000,58775.64,0,0,0,0,84040.08,193217.82,2,0,AUTO,AUTO,AUTO KAROSERIJA,AUTO KAROSERIJA (LIMARI I FARBARI),AUTO MEHANIČARI,2,0,300000,0,0,,1,24,10/12/2020 00:00:00,10/24/2020 00:00:00,23103,1279
47274,54169,Customer 12,K0,N3,0,FALSE,FALSE,0,30 dana,0,,08/06/2019 00:00:00,11/01/2019 00:00:00,02/06/2019 00:00:00,FALSE,FALSE,0,ZIRO-RACUN,43.31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,FALSE,0,300000,0,0,0,0,0,0,0,7,450,METAL,ODRŽAVANJE,ODRŽAVANJE - METAL,INDUSTRIJA ODEĆE I OBUĆE,,2,0,0,0,0,,0,24,11/01/2019 00:00:00,08/06/2019 00:00:00,54169,1225
124535,64152,Customer 13,S1,R1,0,FALSE,FALSE,0,20 dana,25.5,06/20/2024 00:00:00,07/09/2024 00:00:00,07/09/2024 00:00:00,08/29/2022 00:00:00,FALSE,FALSE,0,ZIRO-RACUN,38.92,,60000,68692.9,114.49,120000,67851.1,56.54,42780,68692.9,9480,841.8,47117.74,14,841.8,2,50000,6565.38,1689.06,"2,5C",6,FALSE,4422000,400000,4876.32,1689.06,0,0,0,67851.1,20733.36,2,1,METAL,INSTALACIJE,ELEKTROINSTALACIJE,"KOMUNIKACIJE, NADZOR I ALARMNI SISTEM",,2,2,120000,0,0,,1,20,01/01/1753 00:00:00,01/01/1753 00:00:00,64152,1107
6376,20084,Customer 14,K0,N1,61,FALSE,FALSE,0,30 dana,0,,10/14/2014 00:00:00,01/29/2015 00:00:00,12/26/2012 00:00:00,FALSE,FALSE,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,6,0,DRVO,DRVO,"Nameštaj, pločasti materijal",PLOČASTI MATERIJAL - PROIZVODNJA NAMEŠTAJA,,2,0,0,0,0,,0,24,01/29/2015 00:00:00,10/14/2014 00:00:00,20084,16
