CustomerId,CategoryOfItemsId,Turnover,Potential,UnusedPotential,NoOfItems,Name
127126,7806,2370982.79,2556803.81,185821.02,61,Rukavice - Zaštita na radu
127126,7815,5693159.25,5693159.25,0,247,Radna odeća -Zaštita na radu
127126,7819,1660033.87,2261117.14,601083.27,12,PUR pene                      
127126,7820,1038911.43,1064134.94,25223.51,39,MASTER mašine                 
127126,7834,1258295.46,1661684.46,403389,39,"Bašta - Konektori, Ventili, Slavine"
127126,7882,1750080.01,2514045.86,763965.85,39,Sanitar - Daske za WC
127126,7884,1050002.41,1499845.09,449842.68,9,Silikoni                      
127126,7890,1920901.91,2967897.13,1046995.22,30,Sanitar - Slavine 
127126,7892,1327129.25,1787827.09,460697.84,89,Sanitar - Tuš program/razno
127126,7893,18808577.25,21526579.18,2718001.93,74,Bašta - motorni program
127126,7907,376698.72,0,0,0,Bašta - Creva za vodu
127126,7909,5921978.4,6549750.36,627771.96,373,Cipele - Zaštita na radu
127126,7998,2735189.76,3096671.31,361481.55,226,RUČNI ALAT
127126,8010,791422.5,1246868.6,455446.1,2,Bašta - Baštenski nameštaj
127126,8057,1039167.76,1290319.58,251151.82,40,Pantalone - Zaštita na radu
127126,8062,1389289.26,1583264.67,193975.41,58,Radna odela - Zaštita na radu
7929,7805,0,22473.95,22473.95,0,K+D/MS Polimeri               
7929,7806,0,10386.92,10386.92,0,Rukavice - Zaštita na radu
7929,7815,0,21105.61,21105.61,0,Radna odeća -Zaštita na radu
7929,7820,0,42234.82,42234.82,0,MASTER mašine                 
7929,7838,0,15548.49,15548.49,0,Papiri za brisanje            
7929,7853,0,14160.42,14160.42,0,Rezne ploče          
7929,7859,1480.46,8670.21,7189.75,1,Podmazivači                   
7929,7860,0,9870.76,9870.76,0,Radionička oprema             
7929,7867,0,8239.11,8239.11,0,DOS lepkovi i Super RTV       
7929,7909,0,17379.91,17379.91,0,Cipele - Zaštita na radu
7929,7998,0,50262.99,50262.99,0,RUČNI ALAT
7929,8055,0,154742.43,154742.43,0,Auto Stakla- Lepak i Alat
7929,8057,0,9698.75,9698.75,0,Pantalone - Zaštita na radu
7929,8059,10179.84,10179.84,0,1,Čistač kočnica
7929,8062,0,8773.53,8773.53,0,Radna odela - Zaštita na radu
124535,7803,153,0,0,0,Ostalo                        
124535,7806,897,10924.07,10027.07,1,Rukavice - Zaštita na radu
124535,7808,0,5304.06,5304.06,0,Burgije za metal              
124535,7809,0,6475.36,6475.36,0,"Ostali rezni alat (ureznice, n"
124535,7815,14940,54697.84,39757.84,3,Radna odeća -Zaštita na radu
124535,7820,12990,40641.97,27651.97,1,MASTER mašine                 
124535,7821,1638,0,0,0,Samobušeći vijci              
124535,7836,0,8902.26,8902.26,0,"Ankeri, tiplovi               "
124535,7849,0,13585.47,13585.47,0,Protivpožarna zaštita
124535,7853,1421.16,0,0,0,Rezne ploče          
124535,7862,10548.62,11855.61,1306.99,4,Mašinski navoj                
124535,7865,0,10171.99,10171.99,0,Šelne sa gumom i instalacije
124535,7870,425.49,0,0,0,Izolir i vulkanizirajuće trake
124535,7909,4890.2,40231.43,35341.23,1,Cipele - Zaštita na radu
124535,7982,0,8745.16,8745.16,0,Navojne štangle
124535,7983,0,5650.49,5650.49,0,Varifix
124535,7998,1037.06,40317.6,39280.54,3,RUČNI ALAT
124535,8057,0,11835.21,11835.21,0,Pantalone - Zaštita na radu
124535,8062,5979.4,5979.4,0,2,Radna odela - Zaštita na radu
114952,7806,7586.13,39090.85,31504.72,4,Rukavice - Zaštita na radu
114952,7815,85,67588.88,67503.88,4,Radna odeća -Zaštita na radu
114952,7819,0,40710.98,40710.98,0,PUR pene                      
114952,7820,0,83317.81,83317.81,0,MASTER mašine                 
114952,7829,0,29759.92,29759.92,0,Vijci za gips                 
114952,7836,0,23731.05,23731.05,0,"Ankeri, tiplovi               "
114952,7853,0,33272.01,33272.01,0,Rezne ploče          
114952,7867,0,23122.15,23122.15,0,DOS lepkovi i Super RTV       
114952,7870,0,26992.77,26992.77,0,Izolir i vulkanizirajuće trake
114952,7891,0,19792.43,19792.43,0,Lak sprejevi                  
114952,7893,0,30353.91,30353.91,0,Bašta - motorni program
114952,7908,0,33359.83,33359.83,0,Masti                         
